population,Data Zone
569,S01001630
"1,510",S01001631
572,S01001632
874,S01001633
997,S01001634
697,S01001635
510,S01001636
723,S01001637
860,S01001638
696,S01001639
623,S01001640
"1,724",S01001641
895,S01001642
710,S01001643
"1,762",S01001644
"1,007",S01001645
653,S01001646
650,S01001647
731,S01001648
728,S01001649
894,S01001650
941,S01001651
762,S01001652
645,S01001653
976,S01001654
601,S01001655
"1,332",S01001656
517,S01001657
976,S01001658
687,S01001659
676,S01001660
876,S01001661
705,S01001662
862,S01001663
543,S01001664
872,S01001665
513,S01001666
791,S01001667
969,S01001668
644,S01001669
645,S01001670
528,S01001671
598,S01001672
664,S01001673
658,S01001674
705,S01001675
"1,473",S01001676
820,S01001677
869,S01001678
841,S01001679
538,S01001680
660,S01001681
567,S01001682
749,S01001683
622,S01001684
705,S01001685
892,S01001686
992,S01001687
966,S01001688
670,S01001689
918,S01001690
861,S01001691
646,S01001692
949,S01001693
658,S01001694
792,S01001695
749,S01001696
841,S01001697
525,S01001698
726,S01001699
"1,044",S01001700
942,S01001701
944,S01001702
823,S01001703
943,S01001704
583,S01001705
798,S01001706
783,S01001707
964,S01001708
601,S01001709
707,S01001710
815,S01001711
436,S01001712
872,S01001713
717,S01001714
844,S01001715
765,S01001716
798,S01001717
503,S01001718
825,S01001719
"1,341",S01001720
765,S01001721
744,S01001722
844,S01001723
790,S01001724
818,S01001725
680,S01001726
"1,022",S01001727
671,S01001728
978,S01001729
686,S01001730
620,S01001731
546,S01001732
"1,020",S01001733
544,S01001734
492,S01001735
"1,054",S01001736
600,S01001737
586,S01001738
638,S01001739
710,S01001740
622,S01001741
822,S01001742
"1,004",S01001743
546,S01001744
835,S01001745
937,S01001746
865,S01001747
625,S01001748
735,S01001749
608,S01001750
891,S01001751
914,S01001752
771,S01001753
787,S01001754
"1,021",S01001755
631,S01001756
758,S01001757
791,S01001758
661,S01001759
855,S01001760
737,S01001761
972,S01001762
886,S01001763
552,S01001764
946,S01001765
652,S01001766
584,S01001767
595,S01001768
637,S01001769
590,S01001770
893,S01001771
522,S01001772
918,S01001773
666,S01001774
873,S01001775
600,S01001776
917,S01001777
900,S01001778
563,S01001779
883,S01001780
689,S01001781
969,S01001782
607,S01001783
609,S01001784
604,S01001785
634,S01001786
559,S01001787
777,S01001788
804,S01001789
684,S01001790
724,S01001791
683,S01001792
917,S01001793
929,S01001794
941,S01001795
762,S01001796
687,S01001797
